jahr;umsatz_nominal;umsatz_real_destatis;preisindex_destatis;inflation_kumulativ_destatis;umsatz_real;preisindex;inflation_kumulativ
2020;14.99;14.99;1.0;0.0;14.99;1.0;0.0
2021;15.87;15.528375733855185;1.022;2.200000000000002;15.39;1.0311890838206628;3.1189083820662766
2022;15.31;13.163822959908378;1.163036;16.303599999999996;13.89;1.1022318214542837;10.223182145428368
2023;16.08;12.2787595840682;1.3095785359999998;30.957853599999986;13.78;1.1669085631349783;16.690856313497825
2024;16.99;12.731736639015345;1.3344605281839996;33.44605281839996;14.25;1.192280701754386;19.228070175438596
2025;18.7;13.8333201720533;1.3518085150503916;35.18085150503916;15.33;1.2198303979125897;21.983039791258975
