jahr;umsatz_nominal;umsatz_real;preis_ratio;preisindex;inflation_kumulativ;inflation_jaehrlich
2020;14.99;14.99;1.0;1.0;0.0;
2021;15.87;15.39;1.0311890838206628;1.0311890838206628;3.1189083820662766;3.1189083820662766
2022;15.31;13.89;1.1022318214542837;1.1022318214542837;10.223182145428368;6.889399698685739
2023;16.08;13.78;1.1669085631349783;1.1669085631349783;16.690856313497825;5.8677984451002585
2024;16.99;14.25;1.192280701754386;1.192280701754386;19.228070175438596;2.1743039190014857
2025;18.7;15.33;1.2198303979125897;1.2198303979125897;21.983039791258975;2.3106719850170876
